labels,text,text_hi,text_de,text_fr
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Dakag बिंदु तक जाओ, पागल. केवल Bag Non महान विश्व cag में उपलब्ध है... वहाँ एक अधिक wack मिला...","Gehen Sie bis jurong Punkt, verrückt.. Verfügbar nur in buggis n great world la e buffet... Cine there got amore wat...","Allez jusqu'à Jurong point, fou.. Disponible seulement dans bugis n grand monde la e buffet... Cine il y a eu plus..."
ham,Ok lar... Joking wif u oni...,ओके लामर.... if if uue पर.,Ok Lar... joking wif u oni...,J'ai fait une blague sur le wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Fktatatat 21 मई को प्राप्त करने के लिए मुफ्त प्रविष्टि में. पाठ FAO को 87121 में प्रविष्टि प्राप्त करने के लिए(stibook दर) TTVERVE है 0. 08375750818 के मूल्य लागू करता है,"Freier Eintritt in 2 a wkly comp zum Gewinn FA Cup Final tkts 21. Mai 2005. Text FA bis 87121, um Eingangsfrage zu erhalten(std txt rate)T&C's gelten 08452810075over18's",Entrée libre dans 2 a wkly comp pour gagner FA Cup final tkts 21 mai 2005. Texte FA à 87121 pour recevoir la question d'entrée(std txt rate)T&C's appliquer 08452810075over18's
ham,U dun say so early hor... U c already then say...,Uden इतना जल्दी कहते हैं... तो पहले से ही यूसी कहते हैं...,U dun sagen so früh... U c schon dann sagen...,U dun dit si tôt hor... U c déjà dire alors...
ham,"Nah I don't think he goes to usf, he lives around here though","नहीं, मुझे नहीं लगता कि वह हमारे लिए चला जाता है, वह यहाँ के आसपास रहता है हालांकि","Nein, ich glaube nicht, dass er zu unsf geht, er lebt hier in der Nähe.","Non, je ne pense pas qu'il va à usf, il vit dans le coin."
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","LMag अरे वहाँ प्रिय यह 3 सप्ताह है और कोई शब्द वापस किया गया है! मैं तुम्हें इसके लिए अभी भी कुछ मज़ा चाहते हैं? TbseX chigs, cug1 करने के लिए।","FreeMsg Hey da Liebling es war 3 Wochen jetzt und kein Wort zurück! Ich möchte etwas Spaß Sie für es noch? Tb ok! XxX std chgs zu senden, £1,50 zu rcv","FreeMsg Hey il ya ma chérie il a été 3 semaines maintenant et aucun mot de retour! J'aimerais que vous vous amusez encore pour elle? Tb ok! XxX std chgs à envoyer, £1,50 à rcv"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,मेरा भाई भी मेरे साथ बातें करना नहीं चाहता; वे मेरे साथ सहायक की नाई बर्ताव करते हैं।,Selbst mein Bruder ist nicht gern mit mir sprechen. Sie behandeln mich wie Hilfsmittel Patent.,"Même mon frère n'aime pas me parler, ils me traitent comme un brevet d'aide."
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINER! एक मूल्यवान नेटवर्क ग्राहक के रूप में आप ९०० पाउंड इनाम प्राप्त करने के लिए चुना गया है! करने के लिए दावा करने के लिए 090617011. mult कोड के-341. वैध 12 घंटे केवल 12 घंटे.,"WINNER!! Als geschätzter Netzwerkkunde wurden Sie ausgewählt, um eine Preisbelohnung von £900 zu erhalten! Rufen Sie 09061701461 an. Anspruchscode KL341. Nur gültig 12 Stunden.","WINNER!! En tant que client de réseau apprécié, vous avez été sélectionné pour recevoir une récompense de £900! Pour réclamer un appel 09061701461. Code de réclamation KL341. Valable 12 heures seulement."
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,क्या आपके 11 महीने या उससे अधिक थे? अमरीकी आर का शीर्षक है मुक्त के लिए कैमरा के साथ नवीनतम रंग मोबाइल को अद्यतन करने के लिए!,"Hatte Ihr Handy 11 Monate oder länger? U R berechtigt, die neuesten Farbmobile mit Kamera kostenlos zu aktualisieren! Rufen Sie The Mobile Update Co GRATIS auf 08002986030",Avez-vous eu votre mobile 11 mois ou plus? U R a droit à mettre à jour les derniers mobiles couleur avec caméra gratuitement! Appelez The Mobile Update Co GRATUIT au 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",मैं जल्द ही घर जा रहा हूँ और मैं इस सामान के बारे में अब आज रात बात नहीं करना चाहता हूँ? मैं आज काफी रोया है.,"Ich bin bald zu Hause und will heute Abend nicht mehr darüber reden, K? Ich habe heute genug geweint.","Je vais bientôt rentrer et je ne veux plus parler de ça ce soir, j'ai assez pleuré aujourd'hui."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIXX की संभावना है कि SSH! 100 से 20,000 किलो CH11> और 875 में भेजें. लागत 150/75, 6 दिन, 16+TC जवाब लागू करता है HL 4 जानकारी पर.","SIX Chancen zu gewinnen CASH! Von 100 bis 20.000 Pfund txt> CSH11 und senden an 87575. Kosten 150p / Tag, 6 Tage, 16 + TsandCs gelten Antworten HL 4 info","SIX chances de gagner CASH! De 100 à 20 000 livres txt> CSH11 et envoyer à 87575. Coût 150p/jour, 6jours, 16+ TsandCs appliquer Répondre HL 4 info"
